[Header]
Date        	30/06/2016
Time        	17:11
File Name   	CABLE-esmf
Soft Version	7.38
Base Name   	T-BERD 8000
Base SN     	10807
Module Name	81DISPAP
Module SN   	1338
Status      	FAIL
Operator    	
Comment     	
BBS Type    	BBS-SCL
BBS SN      	0
Ref. Date   	30/06/2016 17:02

[Fiber]
Origin                	abc
Extremity             	xyz
Direction             	abc -> xyz
Cable Id Origin       	CABLE
Fiber Id Origin       	FIBER
Fiber Code Origin     	
Cable Id Extremity    	CABLE
Fiber Id Extremity    	FIBER
Fiber Code Extremity  	

[Setup]
Lambda Range        	1260-1640
Fiber Length        	Unknown
Approx. formula     	Quadratic
Normalized to km    	No

[Results]
Lambda 0	1269.28 nm
Slope S0	-5.3036 ps/nm.nm

Wavelength(nm)	Delay(ps)	Disp.(ps/nm)	Coef. Disp.(ps/nm.km)	Slope(ps/nm.nm)	
     1528.77	   30088.012	   -1376.086	                  ---	      -5.304	
     1529.16	   29535.275	   -1378.202	                  ---	      -5.304	
     1529.55	   28982.539	   -1380.318	                  ---	      -5.304	
     1529.94	   28497.830	   -1382.199	                  ---	      -5.304	
     1530.33	   27945.094	   -1384.315	                  ---	      -5.304	
     1530.72	   27392.355	   -1386.431	                  ---	      -5.304	
     1531.12	   26839.619	   -1388.548	                  ---	      -5.304	
     1531.51	   26286.883	   -1390.664	                  ---	      -5.304	
     1531.90	   25802.174	   -1392.545	                  ---	      -5.304	
     1532.29	   25240.934	   -1394.661	                  ---	      -5.304	
     1532.68	   24688.197	   -1396.777	                  ---	      -5.304	
     1533.07	   24126.957	   -1398.893	                  ---	      -5.304	
     1533.47	   23565.715	   -1401.009	                  ---	      -5.304	
     1533.86	   23004.475	   -1403.125	                  ---	      -5.304	
     1534.25	   22443.234	   -1405.241	                  ---	      -5.304	
     1534.64	   21950.023	   -1407.122	                  ---	      -5.304	
     1535.04	   21388.781	   -1409.239	                  ---	      -5.304	
     1535.43	   20827.541	   -1411.355	                  ---	      -5.304	
     1535.82	   20257.797	   -1413.471	                  ---	      -5.304	
     1536.22	   19696.557	   -1415.587	                  ---	      -5.304	
     1536.61	   19126.812	   -1417.703	                  ---	      -5.304	
     1537.00	   18557.066	   -1419.866	                  ---	      -5.304	
     1537.40	   18063.855	   -1421.700	                  ---	      -5.304	
     1537.79	   17494.111	   -1423.816	                  ---	      -5.304	
     1538.19	   16924.367	   -1425.932	                  ---	      -5.304	
     1538.58	   16354.623	   -1428.049	                  ---	      -5.304	
     1538.98	   15784.879	   -1430.165	                  ---	      -5.304	
     1539.37	   15206.631	   -1432.328	                  ---	      -5.304	
     1539.77	   14636.886	   -1434.444	                  ---	      -5.304	
     1540.16	   14058.638	   -1436.560	                  ---	      -5.304	
     1540.56	   13488.894	   -1438.676	                  ---	      -5.304	
     1540.95	   12910.646	   -1440.792	                  ---	      -5.304	
     1541.35	   12408.931	   -1442.626	                  ---	      -5.304	
     1541.75	   11830.683	   -1444.790	                  ---	      -5.304	
     1542.14	   11252.435	   -1446.906	                  ---	      -5.304	
     1542.54	   10674.187	   -1449.022	                  ---	      -5.304	
     1542.94	   10087.435	   -1451.138	                  ---	      -5.304	
     1543.33	    9509.188	   -1453.254	                  ---	      -5.304	
     1543.73	    8930.939	   -1455.370	                  ---	      -5.304	
     1544.13	    8344.188	   -1457.486	                  ---	      -5.304	
     1544.53	    7757.436	   -1459.602	                  ---	      -5.304	
     1544.92	    7179.188	   -1461.766	                  ---	      -5.304	
     1545.32	    6592.436	   -1463.882	                  ---	      -5.304	
     1545.72	    6005.684	   -1465.998	                  ---	      -5.304	
     1546.12	    5418.934	   -1468.114	                  ---	      -5.304	
     1546.52	    4832.182	   -1470.230	                  ---	      -5.304	
     1546.92	    4245.430	   -1472.346	                  ---	      -5.304	
     1547.32	    3650.174	   -1474.462	                  ---	      -5.304	
     1547.72	    3063.422	   -1476.578	                  ---	      -5.304	
     1548.11	    2476.672	   -1478.695	                  ---	      -5.304	
     1548.51	    1881.416	   -1480.858	                  ---	      -5.304	
     1548.91	    1286.160	   -1482.974	                  ---	      -5.304	
     1549.32	     690.904	   -1485.090	                  ---	      -5.304	
     1549.72	      95.650	   -1487.206	                  ---	      -5.304	
