[Header]
Date        	30/06/2016
Time        	18:25
File Name   	CABLE-leaf-3x35km
Soft Version	7.38
Base Name   	T-BERD 8000
Base SN     	10807
Module Name	81DISPAP
Module SN   	1338
Status      	PASS
Operator    	
Comment     	
BBS Type    	BBS-SCL
BBS SN      	0
Ref. Date   	30/06/2016 17:02

[Fiber]
Origin                	abc
Extremity             	xyz
Direction             	abc -> xyz
Cable Id Origin       	CABLE
Fiber Id Origin       	FIBER
Fiber Code Origin     	
Cable Id Extremity    	CABLE
Fiber Id Extremity    	FIBER
Fiber Code Extremity  	

[Setup]
Lambda Range        	1260-1640
Fiber Length        	Unknown
Approx. formula     	Quadratic
Normalized to km    	No

[Results]
Lambda 0	1497.23 nm
Slope S0	6.1100 ps/nm.nm

Wavelength(nm)	Delay(ps)	Disp.(ps/nm)	Coef. Disp.(ps/nm.km)	Slope(ps/nm.nm)	
     1528.77	   -5526.531	     192.576	                  ---	       6.110	
     1529.16	   -5450.312	     195.014	                  ---	       6.110	
     1529.55	   -5370.086	     197.452	                  ---	       6.110	
     1529.94	   -5301.891	     199.619	                  ---	       6.110	
     1530.33	   -5221.656	     202.057	                  ---	       6.110	
     1530.72	   -5141.422	     204.495	                  ---	       6.110	
     1531.12	   -5057.180	     206.932	                  ---	       6.110	
     1531.51	   -4976.953	     209.370	                  ---	       6.110	
     1531.90	   -4900.734	     211.537	                  ---	       6.110	
     1532.29	   -4816.484	     213.975	                  ---	       6.110	
     1532.68	   -4728.234	     216.413	                  ---	       6.110	
     1533.07	   -4643.992	     218.851	                  ---	       6.110	
     1533.47	   -4555.734	     221.289	                  ---	       6.110	
     1533.86	   -4467.484	     223.727	                  ---	       6.110	
     1534.25	   -4375.219	     226.165	                  ---	       6.110	
     1534.64	   -4294.984	     228.332	                  ---	       6.110	
     1535.04	   -4202.719	     230.769	                  ---	       6.110	
     1535.43	   -4110.453	     233.207	                  ---	       6.110	
     1535.82	   -4018.188	     235.645	                  ---	       6.110	
     1536.22	   -3921.906	     238.083	                  ---	       6.110	
     1536.61	   -3825.633	     240.521	                  ---	       6.110	
     1537.00	   -3729.352	     243.013	                  ---	       6.110	
     1537.40	   -3645.109	     245.126	                  ---	       6.110	
     1537.79	   -3548.836	     247.564	                  ---	       6.110	
     1538.19	   -3448.547	     250.002	                  ---	       6.110	
     1538.58	   -3348.258	     252.440	                  ---	       6.110	
     1538.98	   -3243.953	     254.877	                  ---	       6.110	
     1539.37	   -3143.664	     257.369	                  ---	       6.110	
     1539.77	   -3039.367	     259.807	                  ---	       6.110	
     1540.16	   -2935.062	     262.245	                  ---	       6.110	
     1540.56	   -2830.766	     264.683	                  ---	       6.110	
     1540.95	   -2722.453	     267.121	                  ---	       6.110	
     1541.35	   -2630.188	     269.234	                  ---	       6.110	
     1541.75	   -2521.875	     271.726	                  ---	       6.110	
     1542.14	   -2413.562	     274.164	                  ---	       6.110	
     1542.54	   -2301.242	     276.602	                  ---	       6.110	
     1542.94	   -2188.914	     279.040	                  ---	       6.110	
     1543.33	   -2076.594	     281.477	                  ---	       6.110	
     1543.73	   -1964.266	     283.915	                  ---	       6.110	
     1544.13	   -1851.945	     286.353	                  ---	       6.110	
     1544.53	   -1735.609	     288.791	                  ---	       6.110	
     1544.92	   -1619.273	     291.283	                  ---	       6.110	
     1545.32	   -1502.938	     293.721	                  ---	       6.110	
     1545.72	   -1386.602	     296.159	                  ---	       6.110	
     1546.12	   -1266.258	     298.597	                  ---	       6.110	
     1546.52	   -1145.914	     301.035	                  ---	       6.110	
     1546.92	   -1025.562	     303.473	                  ---	       6.110	
     1547.32	    -905.219	     305.910	                  ---	       6.110	
     1547.72	    -780.859	     308.348	                  ---	       6.110	
     1548.11	    -656.500	     310.786	                  ---	       6.110	
     1548.51	    -532.141	     313.278	                  ---	       6.110	
     1548.91	    -407.781	     315.716	                  ---	       6.110	
     1549.32	    -279.414	     318.154	                  ---	       6.110	
     1549.72	    -151.047	     320.592	                  ---	       6.110	
     1550.12	     -22.672	     323.030	                  ---	       6.110	
     1550.52	     105.695	     325.468	                  ---	       6.110	
     1550.92	     238.078	     327.905	                  ---	       6.110	
     1551.32	     370.461	     330.343	                  ---	       6.110	
     1551.72	     502.844	     332.781	                  ---	       6.110	
     1552.12	     635.219	     335.273	                  ---	       6.110	
     1552.52	     771.617	     337.711	                  ---	       6.110	
     1552.93	     904.000	     340.149	                  ---	       6.110	
     1553.33	    1040.391	     342.587	                  ---	       6.110	
     1553.73	    1180.797	     345.025	                  ---	       6.110	
     1554.13	    1317.188	     347.463	                  ---	       6.110	
     1554.54	    1457.594	     349.901	                  ---	       6.110	
     1554.94	    1598.000	     352.339	                  ---	       6.110	
     1555.34	    1738.398	     354.776	                  ---	       6.110	
     1555.75	    1882.820	     357.268	                  ---	       6.110	
     1556.15	    2043.281	     359.977	                  ---	       6.110	
     1556.55	    2187.695	     362.415	                  ---	       6.110	
     1556.96	    2332.109	     364.907	                  ---	       6.110	
     1557.36	    2480.539	     367.345	                  ---	       6.110	
     1557.77	    2628.969	     369.783	                  ---	       6.110	
     1558.17	    2777.398	     372.221	                  ---	       6.110	
     1558.58	    2925.820	     374.659	                  ---	       6.110	
     1558.98	    3074.250	     377.097	                  ---	       6.110	
     1559.39	    3226.688	     379.534	                  ---	       6.110	
     1559.79	    3379.133	     381.972	                  ---	       6.110	
     1560.20	    3551.625	     384.735	                  ---	       6.110	
     1560.61	    3704.062	     387.173	                  ---	       6.110	
