[Header]
Date        	30/06/2016
Time        	17:19
File Name   	CABLE-leaf
Soft Version	7.38
Base Name   	T-BERD 8000
Base SN     	10807
Module Name	81DISPAP
Module SN   	1338
Status      	PASS
Operator    	
Comment     	
BBS Type    	BBS-SCL
BBS SN      	0
Ref. Date   	30/06/2016 17:02

[Fiber]
Origin                	abc
Extremity             	xyz
Direction             	abc -> xyz
Cable Id Origin       	CABLE
Fiber Id Origin       	FIBER
Fiber Code Origin     	
Cable Id Extremity    	CABLE
Fiber Id Extremity    	FIBER
Fiber Code Extremity  	

[Setup]
Lambda Range        	1260-1640
Fiber Length        	Unknown
Approx. formula     	Quadratic
Normalized to km    	No

[Results]
Lambda 0	1488.92 nm
Slope S0	-6.3265 ps/nm.nm

Wavelength(nm)	Delay(ps)	Disp.(ps/nm)	Coef. Disp.(ps/nm.km)	Slope(ps/nm.nm)	
     1528.77	    6725.203	    -251.951	                  ---	      -6.327	
     1529.16	    6620.766	    -254.475	                  ---	      -6.327	
     1529.55	    6520.195	    -257.000	                  ---	      -6.327	
     1529.94	    6431.234	    -259.243	                  ---	      -6.327	
     1530.33	    6326.805	    -261.768	                  ---	      -6.327	
     1530.72	    6222.367	    -264.292	                  ---	      -6.327	
     1531.12	    6114.062	    -266.816	                  ---	      -6.327	
     1531.51	    6005.758	    -269.341	                  ---	      -6.327	
     1531.90	    5912.930	    -271.584	                  ---	      -6.327	
     1532.29	    5804.625	    -274.109	                  ---	      -6.327	
     1532.68	    5692.461	    -276.633	                  ---	      -6.327	
     1533.07	    5580.289	    -279.157	                  ---	      -6.327	
     1533.47	    5468.117	    -281.681	                  ---	      -6.327	
     1533.86	    5355.945	    -284.206	                  ---	      -6.327	
     1534.25	    5243.773	    -286.730	                  ---	      -6.327	
     1534.64	    5143.211	    -288.974	                  ---	      -6.327	
     1535.04	    5027.172	    -291.498	                  ---	      -6.327	
     1535.43	    4907.266	    -294.022	                  ---	      -6.327	
     1535.82	    4791.227	    -296.547	                  ---	      -6.327	
     1536.22	    4671.320	    -299.071	                  ---	      -6.327	
     1536.61	    4551.414	    -301.595	                  ---	      -6.327	
     1537.00	    4431.508	    -304.176	                  ---	      -6.327	
     1537.40	    4323.203	    -306.363	                  ---	      -6.327	
     1537.79	    4199.430	    -308.888	                  ---	      -6.327	
     1538.19	    4075.656	    -311.412	                  ---	      -6.327	
     1538.58	    3951.883	    -313.936	                  ---	      -6.327	
     1538.98	    3824.242	    -316.461	                  ---	      -6.327	
     1539.37	    3696.594	    -319.041	                  ---	      -6.327	
     1539.77	    3568.953	    -321.565	                  ---	      -6.327	
     1540.16	    3441.312	    -324.089	                  ---	      -6.327	
     1540.56	    3309.805	    -326.614	                  ---	      -6.327	
     1540.95	    3178.289	    -329.138	                  ---	      -6.327	
     1541.35	    3062.250	    -331.326	                  ---	      -6.327	
     1541.75	    2930.742	    -333.906	                  ---	      -6.327	
     1542.14	    2795.367	    -336.430	                  ---	      -6.327	
     1542.54	    2659.984	    -338.955	                  ---	      -6.327	
     1542.94	    2524.609	    -341.479	                  ---	      -6.327	
     1543.33	    2389.227	    -344.003	                  ---	      -6.327	
     1543.73	    2249.984	    -346.528	                  ---	      -6.327	
     1544.13	    2110.734	    -349.052	                  ---	      -6.327	
     1544.53	    1971.492	    -351.576	                  ---	      -6.327	
     1544.92	    1828.375	    -354.156	                  ---	      -6.327	
     1545.32	    1689.133	    -356.681	                  ---	      -6.327	
     1545.72	    1546.016	    -359.205	                  ---	      -6.327	
     1546.12	    1399.039	    -361.729	                  ---	      -6.327	
     1546.52	    1255.922	    -364.254	                  ---	      -6.327	
     1546.92	    1108.938	    -366.778	                  ---	      -6.327	
     1547.32	     961.961	    -369.302	                  ---	      -6.327	
     1547.72	     811.109	    -371.826	                  ---	      -6.327	
     1548.11	     664.125	    -374.351	                  ---	      -6.327	
     1548.51	     513.273	    -376.931	                  ---	      -6.327	
     1548.91	     362.430	    -379.455	                  ---	      -6.327	
     1549.32	     211.578	    -381.980	                  ---	      -6.327	
     1549.72	      56.859	    -384.504	                  ---	      -6.327	
     1550.12	     -97.859	    -387.028	                  ---	      -6.327	
     1550.52	    -252.578	    -389.553	                  ---	      -6.327	
     1550.92	    -411.164	    -392.077	                  ---	      -6.327	
     1551.32	    -565.883	    -394.601	                  ---	      -6.327	
     1551.72	    -724.469	    -397.125	                  ---	      -6.327	
     1552.12	    -883.055	    -399.706	                  ---	      -6.327	
     1552.52	   -1045.508	    -402.230	                  ---	      -6.327	
     1552.93	   -1207.961	    -404.754	                  ---	      -6.327	
     1553.33	   -1370.414	    -407.279	                  ---	      -6.327	
     1553.73	   -1532.867	    -409.803	                  ---	      -6.327	
     1554.13	   -1695.320	    -412.327	                  ---	      -6.327	
     1554.54	   -1861.641	    -414.851	                  ---	      -6.327	
     1554.94	   -2027.969	    -417.376	                  ---	      -6.327	
     1555.34	   -2194.289	    -419.900	                  ---	      -6.327	
     1555.75	   -2364.477	    -422.480	                  ---	      -6.327	
     1556.15	   -2554.008	    -425.285	                  ---	      -6.327	
     1556.55	   -2724.195	    -427.809	                  ---	      -6.327	
     1556.96	   -2898.258	    -430.390	                  ---	      -6.327	
     1557.36	   -3068.445	    -432.914	                  ---	      -6.327	
     1557.77	   -3242.500	    -435.438	                  ---	      -6.327	
     1558.17	   -3420.430	    -437.963	                  ---	      -6.327	
     1558.58	   -3594.484	    -440.487	                  ---	      -6.327	
     1558.98	   -3772.406	    -443.011	                  ---	      -6.327	
     1559.39	   -3950.336	    -445.536	                  ---	      -6.327	
     1559.79	   -4128.258	    -448.060	                  ---	      -6.327	
     1560.20	   -4329.398	    -450.921	                  ---	      -6.327	
     1560.61	   -4511.188	    -453.445	                  ---	      -6.327	
