[Header]
Date        	30/06/2016
Time        	17:32
File Name   	CABLE-smf-10km-1
Soft Version	7.38
Base Name   	T-BERD 8000
Base SN     	10807
Module Name	81DISPAP
Module SN   	1338
Status      	PASS
Operator    	
Comment     	
BBS Type    	BBS-SCL
BBS SN      	0
Ref. Date   	30/06/2016 17:02

[Fiber]
Origin                	abc
Extremity             	xyz
Direction             	abc -> xyz
Cable Id Origin       	CABLE
Fiber Id Origin       	FIBER
Fiber Code Origin     	
Cable Id Extremity    	CABLE
Fiber Id Extremity    	FIBER
Fiber Code Extremity  	

[Setup]
Lambda Range        	1260-1640
Fiber Length        	Unknown
Approx. formula     	Quadratic
Normalized to km    	No

[Results]
Lambda 0	1293.96 nm
Slope S0	0.6505 ps/nm.nm

Wavelength(nm)	Delay(ps)	Disp.(ps/nm)	Coef. Disp.(ps/nm.km)	Slope(ps/nm.nm)	
     1528.77	   -3451.797	     152.728	                  ---	       0.651	
     1529.16	   -3390.910	     152.987	                  ---	       0.651	
     1529.55	   -3329.115	     153.247	                  ---	       0.651	
     1529.94	   -3275.499	     153.478	                  ---	       0.651	
     1530.33	   -3214.613	     153.737	                  ---	       0.651	
     1530.72	   -3152.818	     153.997	                  ---	       0.651	
     1531.12	   -3091.023	     154.256	                  ---	       0.651	
     1531.51	   -3029.228	     154.516	                  ---	       0.651	
     1531.90	   -2975.611	     154.747	                  ---	       0.651	
     1532.29	   -2913.816	     155.006	                  ---	       0.651	
     1532.68	   -2851.113	     155.266	                  ---	       0.651	
     1533.07	   -2789.317	     155.525	                  ---	       0.651	
     1533.47	   -2726.614	     155.785	                  ---	       0.651	
     1533.86	   -2664.819	     156.044	                  ---	       0.651	
     1534.25	   -2602.115	     156.304	                  ---	       0.651	
     1534.64	   -2547.590	     156.535	                  ---	       0.651	
     1535.04	   -2484.886	     156.794	                  ---	       0.651	
     1535.43	   -2422.182	     157.054	                  ---	       0.651	
     1535.82	   -2359.479	     157.313	                  ---	       0.651	
     1536.22	   -2295.866	     157.573	                  ---	       0.651	
     1536.61	   -2233.162	     157.832	                  ---	       0.651	
     1537.00	   -2169.550	     158.098	                  ---	       0.651	
     1537.40	   -2114.116	     158.323	                  ---	       0.651	
     1537.79	   -2051.412	     158.582	                  ---	       0.651	
     1538.19	   -1987.800	     158.842	                  ---	       0.651	
     1538.58	   -1924.187	     159.101	                  ---	       0.651	
     1538.98	   -1861.483	     159.361	                  ---	       0.651	
     1539.37	   -1796.962	     159.626	                  ---	       0.651	
     1539.77	   -1733.349	     159.886	                  ---	       0.651	
     1540.16	   -1669.737	     160.145	                  ---	       0.651	
     1540.56	   -1605.216	     160.405	                  ---	       0.651	
     1540.95	   -1540.694	     160.664	                  ---	       0.651	
     1541.35	   -1485.260	     160.889	                  ---	       0.651	
     1541.75	   -1420.739	     161.155	                  ---	       0.651	
     1542.14	   -1356.218	     161.414	                  ---	       0.651	
     1542.54	   -1291.697	     161.674	                  ---	       0.651	
     1542.94	   -1226.267	     161.933	                  ---	       0.651	
     1543.33	   -1161.745	     162.193	                  ---	       0.651	
     1543.73	   -1097.224	     162.452	                  ---	       0.651	
     1544.13	   -1031.794	     162.712	                  ---	       0.651	
     1544.53	    -966.364	     162.972	                  ---	       0.651	
     1544.92	    -901.843	     163.237	                  ---	       0.651	
     1545.32	    -836.413	     163.496	                  ---	       0.651	
     1545.72	    -770.983	     163.756	                  ---	       0.651	
     1546.12	    -704.644	     164.016	                  ---	       0.651	
     1546.52	    -639.214	     164.275	                  ---	       0.651	
     1546.92	    -573.784	     164.535	                  ---	       0.651	
     1547.32	    -507.445	     164.794	                  ---	       0.651	
     1547.72	    -442.015	     165.054	                  ---	       0.651	
     1548.11	    -375.676	     165.313	                  ---	       0.651	
     1548.51	    -309.337	     165.579	                  ---	       0.651	
     1548.91	    -242.999	     165.838	                  ---	       0.651	
     1549.32	    -176.660	     166.098	                  ---	       0.651	
     1549.72	    -110.321	     166.357	                  ---	       0.651	
     1550.12	     -43.982	     166.617	                  ---	       0.651	
     1550.52	      23.265	     166.876	                  ---	       0.651	
     1550.92	      89.604	     167.136	                  ---	       0.651	
     1551.32	     156.852	     167.396	                  ---	       0.651	
     1551.72	     223.190	     167.655	                  ---	       0.651	
     1552.12	     290.438	     167.920	                  ---	       0.651	
     1552.52	     357.685	     168.180	                  ---	       0.651	
     1552.93	     424.933	     168.440	                  ---	       0.651	
     1553.33	     493.089	     168.699	                  ---	       0.651	
     1553.73	     560.337	     168.959	                  ---	       0.651	
     1554.13	     627.584	     169.218	                  ---	       0.651	
     1554.54	     695.740	     169.478	                  ---	       0.651	
     1554.94	     763.897	     169.737	                  ---	       0.651	
     1555.34	     831.144	     169.997	                  ---	       0.651	
     1555.75	     899.301	     170.262	                  ---	       0.651	
     1556.15	     976.544	     170.551	                  ---	       0.651	
     1556.55	    1044.701	     170.810	                  ---	       0.651	
     1556.96	    1112.857	     171.075	                  ---	       0.651	
     1557.36	    1181.013	     171.335	                  ---	       0.651	
     1557.77	    1250.078	     171.595	                  ---	       0.651	
     1558.17	    1318.235	     171.854	                  ---	       0.651	
     1558.58	    1387.300	     172.114	                  ---	       0.651	
     1558.98	    1456.365	     172.373	                  ---	       0.651	
     1559.39	    1525.430	     172.633	                  ---	       0.651	
     1559.79	    1594.495	     172.892	                  ---	       0.651	
     1560.20	    1672.647	     173.187	                  ---	       0.651	
     1560.61	    1741.712	     173.446	                  ---	       0.651	
