[Header]
Date        	30/06/2016
Time        	17:37
File Name   	CABLE-smf-3km-2
Soft Version	7.38
Base Name   	T-BERD 8000
Base SN     	10807
Module Name	81DISPAP
Module SN   	1338
Status      	PASS
Operator    	
Comment     	
BBS Type    	BBS-SCL
BBS SN      	0
Ref. Date   	30/06/2016 17:02

[Fiber]
Origin                	abc
Extremity             	xyz
Direction             	abc -> xyz
Cable Id Origin       	CABLE
Fiber Id Origin       	FIBER
Fiber Code Origin     	
Cable Id Extremity    	CABLE
Fiber Id Extremity    	FIBER
Fiber Code Extremity  	

[Setup]
Lambda Range        	1260-1640
Fiber Length        	Unknown
Approx. formula     	Quadratic
Normalized to km    	No

[Results]
Wavelength(nm)	Delay(ps)	Disp.(ps/nm)	Coef. Disp.(ps/nm.km)	Slope(ps/nm.nm)	
     1528.77	   -1044.683	      46.712	                  ---	       0.172	
     1529.16	   -1025.841	      46.780	                  ---	       0.172	
     1529.55	   -1007.294	      46.849	                  ---	       0.172	
     1529.94	    -990.807	      46.910	                  ---	       0.172	
     1530.33	    -971.966	      46.978	                  ---	       0.172	
     1530.72	    -953.124	      47.047	                  ---	       0.172	
     1531.12	    -934.282	      47.115	                  ---	       0.172	
     1531.51	    -915.440	      47.184	                  ---	       0.172	
     1531.90	    -898.953	      47.244	                  ---	       0.172	
     1532.29	    -880.112	      47.313	                  ---	       0.172	
     1532.68	    -861.270	      47.381	                  ---	       0.172	
     1533.07	    -842.134	      47.450	                  ---	       0.172	
     1533.47	    -823.292	      47.518	                  ---	       0.172	
     1533.86	    -804.156	      47.587	                  ---	       0.172	
     1534.25	    -785.019	      47.655	                  ---	       0.172	
     1534.64	    -768.533	      47.716	                  ---	       0.172	
     1535.04	    -749.397	      47.784	                  ---	       0.172	
     1535.43	    -730.260	      47.853	                  ---	       0.172	
     1535.82	    -711.124	      47.921	                  ---	       0.172	
     1536.22	    -691.988	      47.990	                  ---	       0.172	
     1536.61	    -672.557	      48.058	                  ---	       0.172	
     1537.00	    -653.421	      48.128	                  ---	       0.172	
     1537.40	    -636.640	      48.187	                  ---	       0.172	
     1537.79	    -617.210	      48.256	                  ---	       0.172	
     1538.19	    -598.073	      48.324	                  ---	       0.172	
     1538.58	    -578.643	      48.393	                  ---	       0.172	
     1538.98	    -559.212	      48.461	                  ---	       0.172	
     1539.37	    -539.781	      48.531	                  ---	       0.172	
     1539.77	    -520.351	      48.600	                  ---	       0.172	
     1540.16	    -500.920	      48.668	                  ---	       0.172	
     1540.56	    -481.490	      48.737	                  ---	       0.172	
     1540.95	    -462.059	      48.805	                  ---	       0.172	
     1541.35	    -444.984	      48.864	                  ---	       0.172	
     1541.75	    -425.259	      48.934	                  ---	       0.172	
     1542.14	    -405.828	      49.003	                  ---	       0.172	
     1542.54	    -386.103	      49.071	                  ---	       0.172	
     1542.94	    -366.378	      49.140	                  ---	       0.172	
     1543.33	    -346.947	      49.208	                  ---	       0.172	
     1543.73	    -327.222	      49.277	                  ---	       0.172	
     1544.13	    -307.497	      49.345	                  ---	       0.172	
     1544.53	    -287.772	      49.413	                  ---	       0.172	
     1544.92	    -267.753	      49.483	                  ---	       0.172	
     1545.32	    -248.028	      49.552	                  ---	       0.172	
     1545.72	    -228.303	      49.620	                  ---	       0.172	
     1546.12	    -208.283	      49.689	                  ---	       0.172	
     1546.52	    -188.558	      49.757	                  ---	       0.172	
     1546.92	    -168.539	      49.826	                  ---	       0.172	
     1547.32	    -148.520	      49.894	                  ---	       0.172	
     1547.72	    -128.500	      49.963	                  ---	       0.172	
     1548.11	    -108.775	      50.031	                  ---	       0.172	
     1548.51	     -88.461	      50.101	                  ---	       0.172	
     1548.91	     -68.442	      50.169	                  ---	       0.172	
     1549.32	     -48.422	      50.238	                  ---	       0.172	
     1549.72	     -28.403	      50.306	                  ---	       0.172	
     1550.12	      -8.089	      50.375	                  ---	       0.172	
     1550.52	      11.930	      50.443	                  ---	       0.172	
     1550.92	      32.244	      50.512	                  ---	       0.172	
     1551.32	      52.264	      50.580	                  ---	       0.172	
     1551.72	      72.577	      50.649	                  ---	       0.172	
     1552.12	      92.891	      50.719	                  ---	       0.172	
     1552.52	     113.205	      50.787	                  ---	       0.172	
     1552.93	     133.519	      50.855	                  ---	       0.172	
     1553.33	     153.833	      50.924	                  ---	       0.172	
     1553.73	     174.146	      50.992	                  ---	       0.172	
     1554.13	     194.755	      51.061	                  ---	       0.172	
     1554.54	     215.068	      51.129	                  ---	       0.172	
     1554.94	     235.677	      51.198	                  ---	       0.172	
     1555.34	     255.991	      51.266	                  ---	       0.172	
     1555.75	     276.599	      51.336	                  ---	       0.172	
     1556.15	     299.562	      51.412	                  ---	       0.172	
     1556.55	     320.171	      51.481	                  ---	       0.172	
     1556.96	     340.779	      51.551	                  ---	       0.172	
     1557.36	     361.387	      51.619	                  ---	       0.172	
     1557.77	     382.290	      51.687	                  ---	       0.172	
     1558.17	     402.898	      51.756	                  ---	       0.172	
     1558.58	     423.506	      51.824	                  ---	       0.172	
     1558.98	     444.409	      51.893	                  ---	       0.172	
     1559.39	     465.017	      51.961	                  ---	       0.172	
     1559.79	     485.920	      52.030	                  ---	       0.172	
     1560.20	     509.177	      52.107	                  ---	       0.172	
     1560.61	     530.080	      52.176	                  ---	       0.172	
