[Header]
Date        	30/06/2016
Time        	18:19
File Name   	CABLE-smf-3x25km
Soft Version	7.38
Base Name   	T-BERD 8000
Base SN     	10807
Module Name	81DISPAP
Module SN   	1338
Status      	FAIL
Operator    	
Comment     	
BBS Type    	BBS-SCL
BBS SN      	0
Ref. Date   	30/06/2016 17:02

[Fiber]
Origin                	abc
Extremity             	xyz
Direction             	abc -> xyz
Cable Id Origin       	CABLE
Fiber Id Origin       	FIBER
Fiber Code Origin     	
Cable Id Extremity    	CABLE
Fiber Id Extremity    	FIBER
Fiber Code Extremity  	

[Setup]
Lambda Range        	1260-1640
Fiber Length        	Unknown
Approx. formula     	Quadratic
Normalized to km    	No

[Results]
Wavelength(nm)	Delay(ps)	Disp.(ps/nm)	Coef. Disp.(ps/nm.km)	Slope(ps/nm.nm)	
     1528.77	  -26069.477	    1171.353	                  ---	       4.334	
     1529.16	  -25598.449	    1173.082	                  ---	       4.334	
     1529.55	  -25127.422	    1174.811	                  ---	       4.334	
     1529.94	  -24715.273	    1176.348	                  ---	       4.334	
     1530.33	  -24244.248	    1178.078	                  ---	       4.334	
     1530.72	  -23773.221	    1179.807	                  ---	       4.334	
     1531.12	  -23302.195	    1181.537	                  ---	       4.334	
     1531.51	  -22831.168	    1183.266	                  ---	       4.334	
     1531.90	  -22411.660	    1184.803	                  ---	       4.334	
     1532.29	  -21940.633	    1186.532	                  ---	       4.334	
     1532.68	  -21462.246	    1188.262	                  ---	       4.334	
     1533.07	  -20991.219	    1189.991	                  ---	       4.334	
     1533.47	  -20512.834	    1191.721	                  ---	       4.334	
     1533.86	  -20034.447	    1193.450	                  ---	       4.334	
     1534.25	  -19556.061	    1195.179	                  ---	       4.334	
     1534.64	  -19143.912	    1196.717	                  ---	       4.334	
     1535.04	  -18658.166	    1198.446	                  ---	       4.334	
     1535.43	  -18179.779	    1200.175	                  ---	       4.334	
     1535.82	  -17701.395	    1201.905	                  ---	       4.334	
     1536.22	  -17223.008	    1203.634	                  ---	       4.334	
     1536.61	  -16737.262	    1205.363	                  ---	       4.334	
     1537.00	  -16258.874	    1207.131	                  ---	       4.334	
     1537.40	  -15832.006	    1208.630	                  ---	       4.334	
     1537.79	  -15346.260	    1210.359	                  ---	       4.334	
     1538.19	  -14867.873	    1212.089	                  ---	       4.334	
     1538.58	  -14382.127	    1213.818	                  ---	       4.334	
     1538.98	  -13896.381	    1215.547	                  ---	       4.334	
     1539.37	  -13410.635	    1217.315	                  ---	       4.334	
     1539.77	  -12917.528	    1219.045	                  ---	       4.334	
     1540.16	  -12431.782	    1220.774	                  ---	       4.334	
     1540.56	  -11946.036	    1222.503	                  ---	       4.334	
     1540.95	  -11452.931	    1224.233	                  ---	       4.334	
     1541.35	  -11026.062	    1225.770	                  ---	       4.334	
     1541.75	  -10532.956	    1227.499	                  ---	       4.334	
     1542.14	  -10039.850	    1229.229	                  ---	       4.334	
     1542.54	   -9554.104	    1230.958	                  ---	       4.334	
     1542.94	   -9060.998	    1232.688	                  ---	       4.334	
     1543.33	   -8567.893	    1234.417	                  ---	       4.334	
     1543.73	   -8067.426	    1236.146	                  ---	       4.334	
     1544.13	   -7574.320	    1237.876	                  ---	       4.334	
     1544.53	   -7081.215	    1239.605	                  ---	       4.334	
     1544.92	   -6580.748	    1241.373	                  ---	       4.334	
     1545.32	   -6087.643	    1243.102	                  ---	       4.334	
     1545.72	   -5587.176	    1244.832	                  ---	       4.334	
     1546.12	   -5094.070	    1246.561	                  ---	       4.334	
     1546.52	   -4593.605	    1248.290	                  ---	       4.334	
     1546.92	   -4093.139	    1250.020	                  ---	       4.334	
     1547.32	   -3592.674	    1251.749	                  ---	       4.334	
     1547.72	   -3092.207	    1253.478	                  ---	       4.334	
     1548.11	   -2591.742	    1255.208	                  ---	       4.334	
     1548.51	   -2083.916	    1256.976	                  ---	       4.334	
     1548.91	   -1583.449	    1258.705	                  ---	       4.334	
     1549.32	   -1082.984	    1260.434	                  ---	       4.334	
     1549.72	    -575.158	    1262.164	                  ---	       4.334	
     1550.12	     -67.334	    1263.893	                  ---	       4.334	
     1550.52	     433.133	    1265.622	                  ---	       4.334	
     1550.92	     940.959	    1267.352	                  ---	       4.334	
     1551.32	    1448.783	    1269.081	                  ---	       4.334	
     1551.72	    1956.609	    1270.811	                  ---	       4.334	
     1552.12	    2464.436	    1272.578	                  ---	       4.334	
     1552.52	    2972.260	    1274.308	                  ---	       4.334	
     1552.93	    3487.445	    1276.037	                  ---	       4.334	
     1553.33	    3995.271	    1277.766	                  ---	       4.334	
     1553.73	    4510.457	    1279.496	                  ---	       4.334	
     1554.13	    5018.283	    1281.225	                  ---	       4.334	
     1554.54	    5533.469	    1282.955	                  ---	       4.334	
     1554.94	    6048.654	    1284.684	                  ---	       4.334	
     1555.34	    6563.840	    1286.413	                  ---	       4.334	
     1555.75	    7079.023	    1288.181	                  ---	       4.334	
     1556.15	    7653.086	    1290.103	                  ---	       4.334	
     1556.55	    8175.633	    1291.832	                  ---	       4.334	
     1556.96	    8690.820	    1293.600	                  ---	       4.334	
     1557.36	    9206.004	    1295.329	                  ---	       4.334	
     1557.77	    9728.551	    1297.059	                  ---	       4.334	
     1558.17	   10243.734	    1298.788	                  ---	       4.334	
     1558.58	   10766.281	    1300.517	                  ---	       4.334	
     1558.98	   11281.465	    1302.247	                  ---	       4.334	
     1559.39	   11804.012	    1303.976	                  ---	       4.334	
     1559.79	   12326.555	    1305.705	                  ---	       4.334	
     1560.20	   12915.340	    1307.665	                  ---	       4.334	
     1560.61	   13437.883	    1309.395	                  ---	       4.334	
